국가,구분,일자,요일,신규확진(명),누적확진(명),인구확진률(%),인구(명),신규사망(명),누적사망(명),사망률(%)
대한민국,일간,2022/12/22,목,68168,28534558,55.07,51815810,63,31674,0.11
대한민국,일간,2022/12/21,수,75744,28466390,54.94,51815810,62,31611,0.11
대한민국,일간,2022/12/20,화,88172,28390646,54.79,51815810,59,31549,0.11
대한민국,일간,2022/12/19,월,87559,28302474,54.62,51815810,56,31490,0.11
대한민국,일간,2022/12/18,일,26622,28214915,54.45,51815810,39,31434,0.11
대한민국,일간,2022/12/17,토,58862,28188293,54.40,51815810,42,31395,0.11
대한민국,일간,2022/12/16,금,66752,28129431,54.29,51815810,55,31353,0.11
대한민국,일간,2022/12/15,목,66953,28062679,54.16,51815810,66,31298,0.11
대한민국,일간,2022/12/14,수,70154,27995726,54.03,51815810,58,31232,0.11
대한민국,일간,2022/12/13,화,84571,27925572,53.89,51815810,46,31174,0.11
대한민국,일간,2022/12/12,월,86852,27841001,53.73,51815810,29,31128,0.11
대한민국,일간,2022/12/11,일,25667,27754149,53.56,51815810,30,31099,0.11
대한민국,일간,2022/12/10,토,54319,27728482,53.51,51815810,40,31069,0.11
대한민국,일간,2022/12/09,금,62608,27674163,53.41,51815810,54,31029,0.11
대한민국,일간,2022/12/08,목,62734,27611555,53.29,51815810,67,30975,0.11
대한민국,일간,2022/12/07,수,65253,27548821,53.17,51815810,61,30908,0.11
대한민국,일간,2022/12/06,화,74714,27483568,53.04,51815810,54,30847,0.11
대한민국,일간,2022/12/05,월,77604,27408854,52.90,51815810,24,30793,0.11
대한민국,일간,2022/12/04,일,23160,27331250,52.75,51815810,40,30769,0.11
대한민국,일간,2022/12/03,토,46564,27308090,52.70,51815810,60,30729,0.11
대한민국,일간,2022/12/02,금,52726,27261526,52.61,51815810,48,30669,0.11
대한민국,일간,2022/12/01,목,52987,27208800,52.51,51815810,53,30621,0.11
대한민국,일간,2022/11/30,수,57079,27155813,52.41,51815810,62,30568,0.11
대한민국,일간,2022/11/29,화,67415,27098734,52.30,51815810,52,30506,0.11
대한민국,일간,2022/11/28,월,71476,27031319,52.17,51815810,41,30454,0.11
대한민국,일간,2022/11/27,일,22327,26959843,52.03,51815810,44,30413,0.11
대한민국,일간,2022/11/26,토,47028,26937516,51.99,51815810,39,30369,0.11
대한민국,일간,2022/11/25,금,52648,26890488,51.90,51815810,52,30330,0.11
대한민국,일간,2022/11/24,목,53698,26837840,51.79,51815810,55,30278,0.11
대한민국,일간,2022/11/23,수,59089,26784142,51.69,51815810,59,30223,0.11
대한민국,일간,2022/11/22,화,70324,26725053,51.58,51815810,53,30164,0.11
대한민국,일간,2022/11/21,월,72873,26654729,51.44,51815810,45,30111,0.11
대한민국,일간,2022/11/20,일,23091,26581856,51.30,51815810,35,30066,0.11
대한민국,일간,2022/11/19,토,46011,26558765,51.26,51815810,41,30031,0.11
대한민국,일간,2022/11/18,금,50435,26512754,51.17,51815810,65,29990,0.11
대한민국,일간,2022/11/17,목,49418,26462319,51.07,51815810,63,29925,0.11
대한민국,일간,2022/11/16,수,55437,26412901,50.97,51815810,67,29862,0.11
대한민국,일간,2022/11/15,화,66587,26357464,50.87,51815810,47,29795,0.11
대한민국,일간,2022/11/14,월,72883,26290877,50.74,51815810,39,29748,0.11
